Review_ID,Product rating,Product reviews,Review score
1701508000,5.0,['Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah'],100
1701508015,4.7,"['this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.', 'Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓', 'Camera satisfactory nh ha, Baki mobile ok ha']",100
1701508035,4.7,"['I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰', 'Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro', 'i am here just because of k main yaqeen karen itni mehngi product aj tak nahee mangwayi, per jab parcel aaya open kia tuh i was amazed yar 100% original, non active,PTA aprroved set har aik cheez perfect, delivery on time, parso market gaya tha wahan bhi mujhe 72500 k rates milen then or yahan daraz per sirf 59529 ka set mila really thanks to seller and daraz and thank u so much delivery boy ALI RAZA who guided me alot and given me confidence,Thank u so much all of you,am completely satisfied 🙏']",100
1701508055,4.1,"['#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.', 'everything is perfect colour b same aya..😇 I am so happy thanks Daraz ..❤ highly recommended... 👌👍', '#11.11 sale main good mobile mil gaya hy market sy bhi sasta same as shown in the picture 😺 reviews dekh ky tu dar gaya tha but ❤️ genuine product hy pin pack pta approved and non active']",100
1701508072,5.0,['highly recommend...'],50
1701508088,4.7,"['Good product Packing is good Stisified the sell as compared product But Price is high as compared market almost 2000', 'I have received my Samsung A04S in sealed box and i loved it. Excellent performance, light weight and premium feel make it best phone. I Will love to shop again again from your store .👌🙂', 'Its a brand new phone, I like it. But, no invoice is sent, how to claim warranty? I have asked this in chat also but no reply. Guide me on warranty n send me picture of invoice, please']",66
1701508105,4.3,"['پن پیک فون ہے۔ جو لوگ کہتے ہیں کہ ڈبے میں کچھ چیزیں کم ہیں ۔ تو شائد اس کی وجہ یہ ہے کہ یہ ماڈل چائنہ اسمبل ہے ۔ باقی اللہ بہتر جانتا ہے۔', ""It's 128 gb variant not available in Pakistan but the seller has amazingly provided it. The product is genuine, received well packed and timely deievered. Thanks to seller and daraz..."", 'i have received my phone in time new and original condition best seller best service thank you daraz for best services!']",83
1701508123,4.7,"['achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai', 'Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.', 'mobile is just go0d. average in use.. bettery timing is go0d.. camera is just average. overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho']",50
1701508139,4.7,"[""mobile was box packed looks new. let's see it's working .. recommended and will update this after 6months"", ""#11.11 I received original and same as ordered product very good experience packing was also very safe bundle of thanks daraz and seller I'm highly recommended shopping with daraz and this seller. 5 out of 5. Bundle of thanks daraz"", 'Original phone seller response is satisfactory delivery is a little late but overall a good experience . Thanks seller and daraz.']",100
1701508155,3.2,"['phone is damaged from edges, pictures uploaded', 'Same As Described original product found in reasonable price than Market', 'I ordered phone in black color but they sent me in Green color. After doing so, he stopped seeing my msgs. Such a ridiculous customer service. I’m completely disappointed over this.']",33
1701508171,5.0,"['Totally satisfied with my purchase.', 'I got good value for money and will definitely buy from them again. The phone is in perfect condition and is a genuine product. 1111']",100
1701508189,5.0,['awesome condition...very light and tiny scratch....91 percent battery...'],100
1701508205,5.0,No review,0
1701508220,4.8,"['Dear Seller, The cell phone is the same as shown, and also, thanks for the quick delivery. Thums Up', ""we'll packed box pack ram 4+3 rom 128gb reason able price just 1 issue net of out of warranty status show ho raha hy"", 'Allahamdullilah jo chez jaise dekhai thi bilkul hi 100% original chez beji hai allah pak seller ko khush rahey seller ne buhut corporate kia hai delivery fast huwi hai thank you so much seller thank you so much daraz 😊😊😊']",83
1701508238,4.6,"['It was an absolutely amazing experience. ordered on the 17th-October night and got it around 01-pm afternoon on 18th-October in less than 12 hours. As far as the product is concerned, Samsung is always a great experience as I have been a user of it since the beginning of the Android era back in 2010. Thanks, Daraz and seller, for extreme level service. Daraz is a highly recommended e-commerce platform of Pakistan from 2016 to till date, never disappointed me with services.', 'Perfect packing timely delivery original product 100% Authentic excellent experience Highly recommended for those who afraid to buy costly items online . thanx seller n Daraz.', 'Excellent 👌']",100
1701508255,4.3,"['very fast delivery and origional sealed pack mobile I am satisfied', 'سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ', 'not recommended, not a good set, camera not good,touch very poor, performance also poor, charger not included in box. be careful']",83
1701508270,5.0,"['97% battery, scratch less, excellent condition, just like new.']",100
1701508286,4.6,"['Reciceved it in 3 days good mobile original no damage to the product original charger was also in the box Recommended Seller', 'this phone is awesome in this price. specs are absolutely fantastic as compared to market. price is very reasonable and I got extra discount from my bank card so I can say I got this phone cheaper than market. very lightweight and speed is very good I am happy to buy this. #11.11', 'Product is original and as per details given. Delivered well before the committed time. Good presentable packaging, delivery is safe and sound.recommended the saller.']",100
